x,y,z
0.000000, 0.000000, 1.000000
-0.000100, -0.009999, 0.999950
-0.000400, -0.019993, 0.999800
-0.000900, -0.029978, 0.999550
-0.001599, -0.039947, 0.999201
-0.002497, -0.049896, 0.998751
-0.003595, -0.059820, 0.998203
-0.004890, -0.069715, 0.997555
-0.006383, -0.079574, 0.996809
-0.008073, -0.089394, 0.995964
-0.009958, -0.099169, 0.995021
-0.012039, -0.108894, 0.993980
-0.014314, -0.118565, 0.992843
-0.016781, -0.128177, 0.991609
-0.019440, -0.137725, 0.990280
-0.022290, -0.147203, 0.988855
-0.025328, -0.156608, 0.987336
-0.028554, -0.165935, 0.985723
-0.031965, -0.175179, 0.984018
-0.035560, -0.184336, 0.982220
-0.039338, -0.193400, 0.980331
-0.043296, -0.202367, 0.978352
-0.047432, -0.211233, 0.976284
-0.051744, -0.219994, 0.974128
-0.056231, -0.228645, 0.971885
-0.060889, -0.237181, 0.969555
-0.065717, -0.245599, 0.967141
-0.070712, -0.253894, 0.964644
-0.075872, -0.262062, 0.962064
-0.081194, -0.270099, 0.959403
-0.086675, -0.278001, 0.956662
-0.092313, -0.285764, 0.953843
-0.098105, -0.293384, 0.950948
-0.104047, -0.300857, 0.947976
-0.110138, -0.308180, 0.944931
-0.116374, -0.315349, 0.941813
-0.122751, -0.322360, 0.938624
-0.129267, -0.329211, 0.935366
-0.135918, -0.335896, 0.932041
-0.142702, -0.342413, 0.928649
-0.149614, -0.348760, 0.925193
-0.156651, -0.354932, 0.921675
-0.163810, -0.360926, 0.918095
-0.171087, -0.366740, 0.914457
-0.178478, -0.372371, 0.910761
-0.185980, -0.377815, 0.907010
-0.193590, -0.383071, 0.903205
-0.201302, -0.388135, 0.899349
-0.209114, -0.393005, 0.895443
-0.217021, -0.397679, 0.891490
-0.225020, -0.402153, 0.887490
-0.233106, -0.406427, 0.883447
-0.241275, -0.410497, 0.879362
-0.249524, -0.414363, 0.875238
-0.257848, -0.418020, 0.871076
-0.266244, -0.421469, 0.866878
-0.274706, -0.424708, 0.862647
-0.283231, -0.427734, 0.858385
-0.291814, -0.430546, 0.854093
-0.300451, -0.433143, 0.849775
-0.309138, -0.435523, 0.845431
