time, prob_0
0.000000,1.000000
0.010000,0.999975
0.020000,0.999900
0.030000,0.999775
0.040000,0.999600
0.050000,0.999376
0.060000,0.999101
0.070000,0.998777
0.080000,0.998404
0.090000,0.997982
0.100000,0.997510
0.110000,0.996990
0.120000,0.996422
0.130000,0.995805
0.140000,0.995140
0.150000,0.994428
0.160000,0.993668
0.170000,0.992862
0.180000,0.992009
0.190000,0.991110
0.200000,0.990166
0.210000,0.989176
0.220000,0.988142
0.230000,0.987064
0.240000,0.985942
0.250000,0.984778
0.260000,0.983571
0.270000,0.982322
0.280000,0.981032
0.290000,0.979702
0.300000,0.978331
0.310000,0.976922
0.320000,0.975474
0.330000,0.973988
0.340000,0.972465
0.350000,0.970907
0.360000,0.969312
0.370000,0.967683
0.380000,0.966020
0.390000,0.964325
0.400000,0.962597
0.410000,0.960837
0.420000,0.959048
0.430000,0.957228
0.440000,0.955380
0.450000,0.953505
0.460000,0.951603
0.470000,0.949675
0.480000,0.947722
0.490000,0.945745
0.500000,0.943745
0.510000,0.941724
0.520000,0.939681
0.530000,0.937619
0.540000,0.935538
0.550000,0.933439
0.560000,0.931324
0.570000,0.929192
0.580000,0.927047
0.590000,0.924887
0.600000,0.922716
0.610000,0.920532
0.620000,0.918339
0.630000,0.916136
0.640000,0.913926
0.650000,0.911708
0.660000,0.909485
0.670000,0.907257
0.680000,0.905025
0.690000,0.902791
0.700000,0.900555
0.710000,0.898319
0.720000,0.896084
0.730000,0.893851
0.740000,0.891620
0.750000,0.889395
0.760000,0.887174
0.770000,0.884960
0.780000,0.882753
0.790000,0.880555
0.800000,0.878367
0.810000,0.876189
0.820000,0.874023
0.830000,0.871871
0.840000,0.869732
0.850000,0.867609
0.860000,0.865502
0.870000,0.863412
0.880000,0.861340
0.890000,0.859287
0.900000,0.857255
0.910000,0.855245
0.920000,0.853257
0.930000,0.851292
0.940000,0.849351
0.950000,0.847436
0.960000,0.845547
0.970000,0.843685
0.980000,0.841852
0.990000,0.840047
1.000000,0.838273
1.010000,0.836529
1.020000,0.834817
1.030000,0.833138
1.040000,0.831492
1.050000,0.829880
1.060000,0.828304
1.070000,0.826763
1.080000,0.825259
1.090000,0.823792
1.100000,0.822363
1.110000,0.820974
1.120000,0.819623
1.130000,0.818313
1.140000,0.817044
1.150000,0.815816
1.160000,0.814630
1.170000,0.813487
1.180000,0.812388
1.190000,0.811332
1.200000,0.810320
1.210000,0.809353
1.220000,0.808432
1.230000,0.807556
1.240000,0.806726
1.250000,0.805944
1.260000,0.805208
1.270000,0.804519
1.280000,0.803879
1.290000,0.803286
1.300000,0.802742
1.310000,0.802246
1.320000,0.801799
1.330000,0.801402
1.340000,0.801053
1.350000,0.800754
1.360000,0.800505
1.370000,0.800305
1.380000,0.800156
1.390000,0.800056
1.400000,0.800006
1.410000,0.800006
1.420000,0.800057
1.430000,0.800157
1.440000,0.800307
1.450000,0.800507
1.460000,0.800756
1.470000,0.801056
1.480000,0.801404
1.490000,0.801802
1.500000,0.802250
1.510000,0.802746
1.520000,0.803290
1.530000,0.803883
1.540000,0.804524
1.550000,0.805213
1.560000,0.805949
1.570000,0.806732
1.580000,0.807562
1.590000,0.808438
1.600000,0.809360
1.610000,0.810327
1.620000,0.811339
1.630000,0.812396
1.640000,0.813496
1.650000,0.814639
1.660000,0.815825
1.670000,0.817053
1.680000,0.818323
1.690000,0.819633
1.700000,0.820984
1.710000,0.822374
1.720000,0.823803
1.730000,0.825270
1.740000,0.826774
1.750000,0.828315
1.760000,0.829892
1.770000,0.831504
1.780000,0.833150
1.790000,0.834830
1.800000,0.836542
1.810000,0.838286
1.820000,0.840060
1.830000,0.841865
1.840000,0.843699
1.850000,0.845561
1.860000,0.847450
1.870000,0.849365
1.880000,0.851306
1.890000,0.853271
1.900000,0.855260
1.910000,0.857270
1.920000,0.859303
1.930000,0.861355
1.940000,0.863427
1.950000,0.865517
1.960000,0.867624
1.970000,0.869748
1.980000,0.871887
1.990000,0.874039
2.000000,0.876205
2.010000,0.878383
2.020000,0.880571
2.030000,0.882769
2.040000,0.884976
2.050000,0.887190
2.060000,0.889411
2.070000,0.891637
2.080000,0.893867
