time, prob_0
0.000000,1.000000
0.010000,0.999975
0.020000,0.999900
0.030000,0.999775
0.040000,0.999600
0.050000,0.999375
0.060000,0.999100
0.070000,0.998776
0.080000,0.998401
0.090000,0.997976
0.100000,0.997502
0.110000,0.996978
0.120000,0.996404
0.130000,0.995781
0.140000,0.995108
0.150000,0.994386
0.160000,0.993614
0.170000,0.992792
0.180000,0.991922
0.190000,0.991002
0.200000,0.990033
0.210000,0.989015
0.220000,0.987949
0.230000,0.986833
0.240000,0.985669
0.250000,0.984456
0.260000,0.983195
0.270000,0.981885
0.280000,0.980528
0.290000,0.979122
0.300000,0.977668
0.310000,0.976167
0.320000,0.974618
0.330000,0.973021
0.340000,0.971377
0.350000,0.969686
0.360000,0.967948
0.370000,0.966164
0.380000,0.964332
0.390000,0.962455
0.400000,0.960530
0.410000,0.958560
0.420000,0.956544
0.430000,0.954483
0.440000,0.952376
0.450000,0.950224
0.460000,0.948026
0.470000,0.945784
0.480000,0.943497
0.490000,0.941166
0.500000,0.938791
0.510000,0.936372
0.520000,0.933910
0.530000,0.931404
0.540000,0.928854
0.550000,0.926262
0.560000,0.923628
0.570000,0.920950
0.580000,0.918231
0.590000,0.915470
0.600000,0.912668
0.610000,0.909824
0.620000,0.906939
0.630000,0.904014
0.640000,0.901048
0.650000,0.898042
0.660000,0.894996
0.670000,0.891911
0.680000,0.888786
0.690000,0.885623
0.700000,0.882421
0.710000,0.879181
0.720000,0.875903
0.730000,0.872587
0.740000,0.869234
0.750000,0.865844
0.760000,0.862418
0.770000,0.858955
0.780000,0.855457
0.790000,0.851923
0.800000,0.848353
0.810000,0.844749
0.820000,0.841111
0.830000,0.837438
0.840000,0.833731
0.850000,0.829992
0.860000,0.826219
0.870000,0.822413
0.880000,0.818576
0.890000,0.814706
0.900000,0.810805
0.910000,0.806873
0.920000,0.802910
0.930000,0.798917
0.940000,0.794894
0.950000,0.790842
0.960000,0.786760
0.970000,0.782650
0.980000,0.778511
0.990000,0.774345
1.000000,0.770151
1.010000,0.765930
1.020000,0.761683
1.030000,0.757409
1.040000,0.753110
1.050000,0.748786
1.060000,0.744436
1.070000,0.740062
1.080000,0.735664
1.090000,0.731243
1.100000,0.726798
1.110000,0.722331
1.120000,0.717841
1.130000,0.713330
1.140000,0.708797
1.150000,0.704244
1.160000,0.699670
1.170000,0.695076
1.180000,0.690462
1.190000,0.685830
1.200000,0.681179
1.210000,0.676510
1.220000,0.671823
1.230000,0.667119
1.240000,0.662398
1.250000,0.657661
1.260000,0.652908
1.270000,0.648140
1.280000,0.643358
1.290000,0.638560
1.300000,0.633749
1.310000,0.628925
1.320000,0.624088
1.330000,0.619238
1.340000,0.614376
1.350000,0.609503
1.360000,0.604619
1.370000,0.599725
1.380000,0.594820
1.390000,0.589906
1.400000,0.584984
1.410000,0.580052
1.420000,0.575113
1.430000,0.570166
1.440000,0.565212
1.450000,0.560251
1.460000,0.555285
1.470000,0.550313
1.480000,0.545336
1.490000,0.540354
1.500000,0.535369
1.510000,0.530379
1.520000,0.525387
1.530000,0.520393
1.540000,0.515396
1.550000,0.510397
1.560000,0.505398
1.570000,0.500398
1.580000,0.495398
1.590000,0.490399
1.600000,0.485400
1.610000,0.480403
1.620000,0.475408
1.630000,0.470415
1.640000,0.465426
1.650000,0.460440
1.660000,0.455457
1.670000,0.450479
1.680000,0.445507
1.690000,0.440539
1.700000,0.435578
1.710000,0.430623
1.720000,0.425675
1.730000,0.420734
1.740000,0.415801
1.750000,0.410877
1.760000,0.405962
1.770000,0.401056
1.780000,0.396159
1.790000,0.391274
1.800000,0.386399
1.810000,0.381535
1.820000,0.376684
1.830000,0.371845
1.840000,0.367018
1.850000,0.362205
1.860000,0.357405
1.870000,0.352620
1.880000,0.347850
1.890000,0.343095
1.900000,0.338355
1.910000,0.333632
1.920000,0.328925
1.930000,0.324236
1.940000,0.319564
1.950000,0.314910
1.960000,0.310274
1.970000,0.305658
1.980000,0.301061
1.990000,0.296483
2.000000,0.291927
2.010000,0.287391
2.020000,0.282876
2.030000,0.278383
2.040000,0.273912
2.050000,0.269464
2.060000,0.265038
2.070000,0.260637
2.080000,0.256259
